id,sex,taglft,tagrt,colours,year,squirrel_id,litter_id,sq_id,observer,observer software,ageclass,cohort,age,grid,trialnumber,trialdate,videodate,trialtime,midden,walk,jump,hole,hang,chew,groom,still,oft_duration,front,back,attack,attacklatency,approachlatency,mis_duration,collar,Exclude_unless_video_reanalyzed,Exclude_reason,Proceed_with_caution,Proceed_with_caution_reason,Last_Edited,Comments,...39,...40
56,F,M6780,M6781,P/W,2021,24896,9751,NA,DH,BORIS,J,2021,0,JO,NA,6/20/21,10/15/21,10:37,K.6.,178.745,10,11,51.258,129.471,18.51,10.254,450,299.75,0,0,298.746,0.999,300,NA,N,NA,N,NA,NA,NA,NA,NA
58,F,M7511,M7512,Y*/Y*,2021,25233,9824,NA,DH,BORIS,J,2021,0,JO,NA,6/26/21,10/16/21,11:15,K.7.,109.026,27,8,287.352,114.522,11.753,13.507,450,266.463,2.501,4,28.544,1.035,300,NA,N,NA,N,NA,NA,NA,NA,NA
59,F,M7509,M7510,G*/G*,2021,25232,9824,NA,DH,BORIS,J,2021,0,JO,NA,6/24/21,10/16/21,NA,K.7.,49.566,18,4,224.179,70.589,25.037,140.186,450,0,0,0,300,300,300,NA,N,NA,N,NA,NA,Squirrel never saw itself in the mirror – approach/attack latency set to max value (300),NA,NA
60,F,M6776,M6777,Y/G,2021,24897,9751,NA,DH,BORIS,A,2020,1,JO,NA,6/20/21,10/17/21,NA,K10.,79.841,2,11,72.373,16.035,23.503,251.095,450,300,0,0,300,7.504,300,NA,N,NA,N,NA,NA,NA,NA,NA
66,F,M7978,M7979,B*/B,2021,25334,9853,NA,DH,BORIS,J,2021,0,KL,NA,7/28/21,10/18/21,NA,-14,84.132,9,6,59.849,4.003,41.046,252.271,450,2.517,1.503,0,300,0.751,300,NA,N,NA,N,NA,NA,NA,NA,NA
70,M,M7451,M7452,Y*/W,2021,25257,9834,NA,DH,BORIS,J,2021,0,KL,NA,7/7/21,10/25/21,NA,B2,0,0,0,450,24.782,0,412.692,450,2.77,296.729,0,300,300,300,NA,N,NA,N,NA,NA,Squirrel never saw itself in the mirror – approach/attack latency set to max value (300),NA,NA
71,F,M7596,M7597,B*/R*,2021,25240,9851,NA,DH,BORIS,J,2021,0,KL,NA,7/6/21,10/31/21,NA,C13,130.689,39,6,274.703,127.785,10.005,8.498,450,244.705,46.042,55,2.752,0.249,300,NA,N,NA,N,NA,NA,NA,NA,NA
73,M,M7945,M7946,B*/Y*,2021,25244,9866,NA,DH,BORIS,J,2021,0,KL,NA,7/4/21,11/5/21,NA,F3,1.5,1,0,447.997,8.008,2.001,420.093,450,255.953,28.776,20,12.764,10.51,300,NA,N,NA,N,NA,NA,NA,NA,NA
77,F,M7517,M7518,W*/B*,2021,25245,9847,NA,DH,BORIS,J,2021,0,KL,NA,7/7/21,11/8/21,NA,N1.,152.37,75,0,255.25,73.774,6.248,16.01,450,65.339,220.541,17,89.589,78.077,300,NA,N,NA,N,NA,NA,NA,NA,NA
79,F,M7935,M7936,W*/O*,2021,25290,9844,NA,DH,BORIS,J,2021,0,KL,NA,7/18/21,11/9/21,09:54,O1,248.751,54,4,146.353,72.285,11.75,19.751,450,111.66,172.53,3,155.904,0.751,292.19,NA,N,NA,N,NA,NA,NA,NA,NA
80,M,M7976,M7977,Y*/Bk,2021,25291,9844,NA,DH,BORIS,J,2021,0,KL,NA,8/4/21,11/9/21,NA,O1,130.56,41,3,241.554,13.553,22.499,106.034,450,279.667,13.758,11,22.254,2.752,299.682,NA,N,NA,N,NA,NA,NA,NA,NA
82,F,M7799,M7800,G*/B*,2021,25342,9897,NA,DH,BORIS,J,2021,0,SU,NA,7/31/21,11/10/21,NA,B.12.,56.255,15,2,272.555,37.018,16.256,276.412,450,298.995,0,0,300,300,300,NA,N,NA,N,NA,NA,Squirrel never saw itself in the mirror – approach/attack latency set to max value (300),NA,NA
9,M,M6772,-,G/-,2020,25006,9774,NA,DH,BORIS,J,2020,0,JO,1,7/7/20,7/21/21,11:09,H.13.,165.709,46,7,170.786,83.039,20.503,2.751,450,140.123,152.073,5,186.656,94.095,300,NA,N,NA,N,NA,NA,NA,NA,NA
25,F,M7060,M7495,B/B,2020,24940,9724,NA,DH,BORIS,J,2020,0,KL,1,6/15/20,11/19/21,12:08,-2.5,98.084,8,9,53.045,15.756,71.81,227.011,450,0,300,0,300,300,300,NA,N,NA,N,NA,NA,NA,NA,NA
41,F,M6338,F9736,B/B,2021,22028,9120,NA,DH,BORIS,J,2021,0,BT,NA,6/20/21,9/18/21,12:29,C3,58.056,23,3,298.09,60.016,3.25,242.443,450,284.738,13.001,4,1.498,0.5,300,NA,N,NA,N,NA,NA,NA,NA,NA
54,M,M6765,M2663,Y!/O!,2021,25190,NA,NA,DH,BORIS,A,2020,1,JO,NA,6/21/21,10/10/21,NA,H8.,86.052,12,8,138.65,86.289,6.501,142.461,450,36.537,5.501,0,300,15.764,300,NA,N,NA,N,NA,NA,NA,NA,NA
55,M,M6624,M6625,R!/B!,2021,24729,NA,NA,DH,BORIS,J,2021,0,JO,NA,6/21/21,10/10/21,10:57,I1,116.485,16,5,305.47,51.508,4.002,186.022,450,295.489,2.999,1,1.75,0.751,300,NA,N,NA,N,NA,NA,NA,NA,NA
61,M,F9839,M4243,P!/P!,2021,24745,NA,NA,DH,BORIS,A,2020,1,JO,NA,6/21/21,10/17/21,NA,L.15,0,0,0,450,19.981,0,418.412,450,300,0,0,300,300,300,NA,N,NA,N,NA,NA,Squirrel never saw itself in the mirror – approach/attack latency set to max value (300),NA,NA
63,NA,F9738,F9739,O!/P!,2021,25208,NA,NA,DH,BORIS,A,2020,1,JO,NA,6/22/21,10/17/21,NA,L18,80.268,4,9,87.405,17.26,8.5,273.798,450,299.749,0,0,300,300,300,NA,N,NA,N,NA,NA,NA,NA,NA
