datetime,odba,odba_max,temp,nest,awake,asleep,odba_z
03-May-2015 01:43:00,0.07,0.38,21.28,Nest,0,1,-0.555623671442806
03-May-2015 01:44:00,0,0.07,21.4,Nest,0,1,-0.675382735533556
03-May-2015 01:45:00,0,0.0600000000000001,21.52,Nest,0,1,-0.675382735533556
03-May-2015 01:46:00,0.0600000000000001,0.0600000000000001,21.52,Nest,0,1,-0.572732109170056
03-May-2015 01:47:00,0.19,1.25,21.65,Nest,0,1,-0.350322418715804
03-May-2015 01:48:00,0,0.32,21.52,Nest,0,1,-0.675382735533556
03-May-2015 01:49:00,0.06,0.19,21.4,Nest,0,1,-0.572732109170056
03-May-2015 01:50:00,0,0.26,21.16,Nest,0,1,-0.675382735533556
03-May-2015 01:51:00,0,0.12,21.28,Nest,0,1,-0.675382735533556
03-May-2015 01:52:00,0.06,0.3,21.03,Nest,0,1,-0.572732109170056
03-May-2015 01:53:00,0,0.69,20.91,Nest,0,1,-0.675382735533556
03-May-2015 01:54:00,0,0.19,21.03,Nest,0,1,-0.675382735533556
03-May-2015 01:55:00,0.06,0.12,20.91,Nest,0,1,-0.572732109170056
03-May-2015 01:56:00,0,0.12,20.91,Nest,0,1,-0.675382735533556
03-May-2015 01:57:00,0,0.2,21.03,Nest,0,1,-0.675382735533556
03-May-2015 01:58:00,0.07,0.43,21.03,Nest,0,1,-0.555623671442806
03-May-2015 01:59:00,0,0.13,21.03,Nest,0,1,-0.675382735533556
03-May-2015 02:00:00,0,0.13,20.67,Nest,0,1,-0.675382735533556
03-May-2015 02:01:00,0.06,0.63,20.79,Nest,0,1,-0.572732109170056
03-May-2015 02:02:00,0,0.07,20.91,Nest,0,1,-0.675382735533556
03-May-2015 02:03:00,0,0.07,21.16,Nest,0,1,-0.675382735533556
03-May-2015 02:04:00,0.0600000000000001,1.68,21.28,Nest,0,1,-0.572732109170056
03-May-2015 02:05:00,0.06,0.12,21.52,Nest,0,1,-0.572732109170056
03-May-2015 02:06:00,0.25,1.24,21.77,Nest,1,0,-0.247671792352304
03-May-2015 02:07:00,0,0.25,21.52,Nest,0,1,-0.675382735533556
03-May-2015 02:08:00,0,0.12,21.4,Nest,0,1,-0.675382735533556
03-May-2015 02:09:00,0,0.18,21.28,Nest,0,1,-0.675382735533556
03-May-2015 02:10:00,0.0600000000000001,0.25,21.03,Nest,0,1,-0.572732109170056
03-May-2015 02:11:00,0,0.19,21.03,Nest,0,1,-0.675382735533556
03-May-2015 02:12:00,0.06,0.06,20.79,Nest,0,1,-0.572732109170056
03-May-2015 02:13:00,0,0.0600000000000001,20.79,Nest,0,1,-0.675382735533556
03-May-2015 02:14:00,0,0.06,20.55,Nest,0,1,-0.675382735533556
03-May-2015 02:15:00,0,0.06,20.55,Nest,0,1,-0.675382735533556
03-May-2015 02:16:00,0,0.06,20.55,Nest,0,1,-0.675382735533556
03-May-2015 02:17:00,0,0.0600000000000001,20.42,Nest,0,1,-0.675382735533556
03-May-2015 02:18:00,0,0.44,20.3,Nest,0,1,-0.675382735533556
03-May-2015 02:19:00,0.06,0.63,20.55,Nest,0,1,-0.572732109170056
03-May-2015 02:20:00,0,0.18,20.55,Nest,0,1,-0.675382735533556
03-May-2015 02:21:00,0,0.12,20.55,Nest,0,1,-0.675382735533556
03-May-2015 02:22:00,0,0.19,20.79,Nest,0,1,-0.675382735533556
03-May-2015 02:23:00,0.06,0.12,20.67,Nest,0,1,-0.572732109170056
03-May-2015 02:24:00,0.12,0.18,20.67,Nest,0,1,-0.470081482806555
03-May-2015 02:25:00,0,0.12,20.67,Nest,0,1,-0.675382735533556
